Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Option 24,Option 25,Option 26,Option 27,Option 28,Option 29,Option 30,Option 31,Option 32,Option 33,Option 34,Option 35,Option 36,Option 37,Option 38,Option 39,Option 40,Option 41,Option 42,Option 43,Option 44,Option 45,Option 46,Option 47,Option 48,Option 49,Option 50,Option 51,Option 52,Option 53,Option 54,Option 55,Option 56,Option 57,Option 58,Option 59,Option 60,Option 61,Option 62,Option 63,Option 64,Option 65,Option 66,Option 67,Option 68,Option 69,Option 70,Option 71,Option 72,Option 73,Option 74,Option 75,Option 76,Option 77,Option 78,Option 79,Option 80,Option 81,Option 82,Option 83,Option 84,Option 85,Option 86,Option 87,Option 88,Option 89,Option 90,Option 91,Option 92,Option 93,Option 94,Option 95,Option 96,Option 97,Option 98,Option 99,Option 100,Option 101,Option 102,Option 103,Option 104,Option 105,Option 106,Option 107,Option 108,Option 109,Option 110,Option 111,Option 112,Option 113,Option 114,Option 115,Option 116,Option 117,Option 118,Option 119,Option 120,Option 121,Option 122,Option 123,Option 124,Option 125,Option 126,Option 127,Option 128,Option 129,Option 130,Option 131,Option 132,Option 133,Option 134,Option 135,Option 136,Option 137,Option 138,Option 139,Option 140,Option 141,Option 142,Option 143,Option 144,Option 145,Option 146,Option 147,SET
АКУШЕР-ГЕНОКОЛ,Test savollar,Test savollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Қин даҳлизининг катта безлари жойлашган,катта жинсий лабларнинг  орқа қисмининг  асосида,кичик жинсий лаблар асосида,катта жинсий лабларнинг  ўрта кисмида,катта ва кичик жинсий лабларнинг пастки учдан икки қисми  орасида,катта жинсий лабларнинг  орқа қисмининг  асосида,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Бартолин безларининг чиқарувчи йуллари очилади,кичик жинсий лаблар ва қизлик пардасининг пастки учдан икки қисми  орасига,кичик жинсий лаблар асосига,катта ва кичик жинсий лабларнинг пастки учдан икки қисми  орасига,кичик жинсий лаблар ва қизлик пардасининг пастки учдан икки қисми  орасига,катта жинсий лабларнинг  орқа қисмининг  асосига,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Қиннинг олдинги деворининг юқори қисми  билан чегаралайди,сийдик пуфаги буйни,сийдик найлари,сийдик пуфаги туби,сийдик пуфаги буйни,сийдик чиқарув канали,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Қиннинг олдинги деворининг  пастки қисми билан чегаралайди,сийдик чиқарув канали,сийдик найлари,сийдик пуфаги туби,сийдик пуфаги буйни,сийдик чиқарув канали,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
. Қиннинг орқа  деворининг юқори қисми билан чегаралайди,тўғри ичак,тўғри ичак,орқа Дуглас чўнтаги,сийдик пуфаги буйни,сийдик найлари,ҳеч бири,6 . Қиннинг орқа  деворининг ўрта қисми билан чегаралайди,тўғри ичак,сигмасимон ичак,орқа Дуглас чўнтаги,қин тўқималари,ингичка ичак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Қиннинг орқа  деворининг  пастки қисми билан  чегаралайди,туғри ичак,туғри ичак,сигмасимон ичак,қин тўқималари,бартолини безлари,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Ташқи ва ички жинсий аъзолар чегараси,қизлик пардаси,ташқи бачадон буйни бўғзи,ички бачадон буйни бўғзи,қизлик пардаси,кичик жинсий лаблар,Д  ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Бачадон танасиги мускул  толаларининг  асосий йўналиши,туғри ва қийшиқ,қийшиқ,айлана,туғри ва қийшиқ,кўндаланг,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Бачадон буйнидаги мускул толаларининг асосий йўналиши,айлана,қийшиқ,айлана,Тўғри ва қийшиқ,кўндаланг,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Репродуктив ёшдаги аёлларнинг бачадон найи узунлиги,10-12см,7-8см,9-10см,10-12см,15-18см,19-20см,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Ҳомиладорликда пастки бачадон сигменти қачон шакланади,24 ҳафта,16 ҳафта,18 ҳафта,20 ҳафта,22 ҳафта,24 ҳафта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Уретранинг асосий анатомик хусусиятлари,ҳаммаси,инфекция ривожланишига мойил бўлган парауретрал йўлларнинг мавжудлиги,бириктирувчи тўқимадан тузилган “беланчак” қов суякга бириккан ва  уретрани кўтариб туради,туғруқдан кейин бириктирувчи тўқима шикастланиши натижасида уретрани анатомик жойланиши бузилиши ва уретероцеле ривожланиши мумкин,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Чаноқ  диафрагмаси ҳосил бўлади,қиннинг чуқур кўндаланг  мускулларидан,қиннинг чуқур кўндаланг  мускулларидан,анусни кўтарувчи  мускуллар,урогенитал диафрагма,қиннинг юзаки  кўндаланг мускуллари,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Туғмаган аёлларда бачадон танаси узунлигн,7-8см,6-7см,7-8см,8-9см,9-10см,11-12см,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Қин тузилишининг асосий хусусиятлари,ҳаммаси,девори кўп қаватли ясси эпителий б-н қопланган,шиллиқ қаватида безлар ва шиллиқ ости қавати йўқ,"қин ажралмаси бу фақат бўйинча безлари секрецияси, бачадон найи, қин ҳужайралари  эпителийси ҳисобига ҳосил бўлади",ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
